Month,1960-1989 Gumbo Days (n),1960-1989 Probability (%),1990-2019 Gumbo Days (n),1990-2019 Probability (%),2020-2050 Gumbo Days (n),2020-2050 Probability (%),2050-2079 Gumbo Days (n),2050-2079 Probability (%)
August,0.0,0.0,0.0,0.0,0,0.0,0,0.0
September,0.0,0.0,0.0,0.0,0,0.0,0,0.0
October,0.0,0.0,1.0,0.1,0,0.0,0,0.0
November,14.0,1.6,9.0,1.0,2,0.2,1,0.1
December,96.0,10.3,64.0,6.9,50,5.4,37,4.0
January,188.0,20.2,111.0,11.9,84,9.0,58,6.2
February,78.0,9.3,43.0,5.1,36,4.3,27,3.2
March,14.0,1.5,10.0,1.1,5,0.5,3,0.3
April,0.0,0.0,0.0,0.0,0,0.0,0,0.0
May,0.0,0.0,0.0,0.0,0,0.0,0,0.0
June,0.0,0.0,0.0,0.0,0,0.0,0,0.0
July,0.0,0.0,0.0,0.0,0,0.0,0,0.0
